companie name;old province;new province;Source
Abertis;Barcelona;Madrid ;http://www.laopiniondemurcia.es/economia/2017/10/06/listado-empresas-abandonan-cataluna/865322.html
Aguas de Barcelona;Barcelona;Madrid ;http://www.laopiniondemurcia.es/economia/2017/10/06/listado-empresas-abandonan-cataluna/865322.html
Applus;Barcelona;Madrid ;
Arquia banca;Barcelona;Madrid;https://elpais.com/economia/2017/10/09/actualidad/1507570625_950581.html
AXA Pensiones;Barcelona;Bilbao;http://www.laopiniondemurcia.es/economia/2017/10/06/listado-empresas-abandonan-cataluna/865322.html
AXA Vida;Barcelona;Bilbao;http://www.laopiniondemurcia.es/economia/2017/10/06/listado-empresas-abandonan-cataluna/865322.html
Ballenoil;Barcelona;Madrid;https://elpais.com/economia/2017/10/09/actualidad/1507570625_950581.html
Banco Mediolanum;Barcelona;Valencia;https://elpais.com/economia/2017/10/09/actualidad/1507570625_950581.html
Banco Sabadell;Barcelona;Alicante;http://www.laopiniondemurcia.es/economia/2017/10/06/listado-empresas-abandonan-cataluna/865322.html
Bimbo;Barcelona;Madrid ;http://www.laopiniondemurcia.es/economia/2017/10/06/listado-empresas-abandonan-cataluna/865322.html
Bruixa d'Or;Lleida;Navarra && Madrid;http://www.laopiniondemurcia.es/economia/2017/10/06/listado-empresas-abandonan-cataluna/865322.html
CaixaBank;Barcelona;Valencia;http://www.laopiniondemurcia.es/economia/2017/10/06/listado-empresas-abandonan-cataluna/865322.html
CaixaBank Asset Management;Barcelona;Madrid ;https://elpais.com/economia/2017/10/09/actualidad/1507570625_950581.html
Catalana Occidente;Barcelona (Sant Cugat del Valles);Madrid;http://www.laopiniondemurcia.es/economia/2017/10/06/listado-empresas-abandonan-cataluna/865322.html
cellnex;Barcelona;Madrid ;http://www.laopiniondemurcia.es/economia/2017/10/06/listado-empresas-abandonan-cataluna/865322.html
Cementos Molins;Barcelona (Sant Vicenç dels Horts);Madrid;https://elpais.com/economia/2017/10/09/actualidad/1507570625_950581.html
Cemoi Electricite;Barcelona;Alicante;https://elpais.com/economia/2017/10/09/actualidad/1507570625_950581.html
Cervezas San Miguel;Barcelona;Malaga;http://www.laopiniondemurcia.es/economia/2017/10/06/listado-empresas-abandonan-cataluna/865322.html
Codorniu;Barcelona (Sant Sadurní d'Anoia);La Rioja (Haro);http://www.laopiniondemurcia.es/economia/2017/10/06/listado-empresas-abandonan-cataluna/865322.html
Colonial;Barcelona;Madrid ;
Copasa;Barcelona;Santiago de compostela;
Criteria Caixa;Barcelona;Palma de mallorca;https://elpais.com/economia/2017/10/09/actualidad/1507570625_950581.html
Dogi;Barcelona;Madrid ;https://elpais.com/economia/2017/10/09/actualidad/1507570625_950581.html
DVD Dental;Barcelona;Madrid ;https://elpais.com/economia/2017/10/09/actualidad/1507570625_950581.html
edream odigeo;Barcelona;Madrid ;
Eurona;Barcelona;Madrid;
Gas Natural Fenosa;Barcelona;Madrid ;http://www.laopiniondemurcia.es/economia/2017/10/06/listado-empresas-abandonan-cataluna/865322.html
Gesiuris;Barcelona;Madrid;https://elpais.com/economia/2017/10/09/actualidad/1507570625_950581.html
Gestora de Fondos EDM;Barcelona;Madrid;https://elpais.com/economia/2017/10/09/actualidad/1507570625_950581.html
Grupo indukern;Barcelona (El Prat de Llobrega);Madrid ;https://elpais.com/economia/2017/10/09/actualidad/1507570625_950581.html
Grupo Planeta;Barcelona;Madrid ;http://www.laopiniondemurcia.es/economia/2017/10/06/listado-empresas-abandonan-cataluna/865322.html
Grupo Zurich;Barcelona;Madrid ;http://www.laopiniondemurcia.es/economia/2017/10/06/listado-empresas-abandonan-cataluna/865322.html, https://elpais.com/economia/2017/10/09/actualidad/1507570625_950581.html
GVC Gaesco;Barcelona;Madrid ;
Idilia Foods;Barcelona;Valencia;http://www.laopiniondemurcia.es/economia/2017/10/06/listado-empresas-abandonan-cataluna/865322.html
Industrias Ponsa;Barcelona (Manresa);Madrid;https://elpais.com/economia/2017/10/09/actualidad/1507570625_950581.html
Klockner;Barcelona;Madrid;https://elpais.com/economia/2017/10/09/actualidad/1507570625_950581.html
Laboratorios Ordesa;Barcelona;Huesca;http://www.laopiniondemurcia.es/economia/2017/10/06/listado-empresas-abandonan-cataluna/865322.html, https://elpais.com/economia/2017/10/09/actualidad/1507570625_950581.html
lleida.net;barcelona;Madrid;https://elpais.com/economia/2017/10/09/actualidad/1507570625_950581.html
MGS Seguros;Barcelona;Zaragoza;https://elpais.com/economia/2017/10/09/actualidad/1507570625_950581.html, https://elpais.com/economia/2017/10/09/actualidad/1507570625_950581.html
MRW;Barcelona;Valencia;http://www.laopiniondemurcia.es/economia/2017/10/06/listado-empresas-abandonan-cataluna/865322.html
Naturhouse;Barcelona;Madrid;https://elpais.com/economia/2017/10/09/actualidad/1507570625_950581.html
Oryzon;barcelona;Madrid;https://elpais.com/economia/2017/10/09/actualidad/1507570625_950581.html
Pangaea Oncology;Barcelona;Zaragoza;http://www.laopiniondemurcia.es/economia/2017/10/06/listado-empresas-abandonan-cataluna/865322.html, https://elpais.com/economia/2017/10/09/actualidad/1507570625_950581.html
Pastas Gallo;Barcelona (Granollers);Cordoba;http://www.laopiniondemurcia.es/economia/2017/10/06/listado-empresas-abandonan-cataluna/865322.html
Proclinic Expert;Barcelona (L´Hospitalet);Zaragoza;https://elpais.com/economia/2017/10/09/actualidad/1507570625_950581.html
Sanantur;Tarragona (Reus);Malaga;https://elpais.com/economia/2017/10/09/actualidad/1507570625_950581.html
SegurCaixa Adeslas;Barcelona;Madrid ;http://www.laopiniondemurcia.es/economia/2017/10/06/listado-empresas-abandonan-cataluna/865322.html, https://elpais.com/economia/2017/10/09/actualidad/1507570625_950581.html
Service Point;Barcelona;Madrid ;https://elpais.com/economia/2017/10/09/actualidad/1507570625_950581.html
Servihabitat;Cataluña;Madrid ;https://elpais.com/economia/2017/10/09/actualidad/1507570625_950581.html
TAB Spain;Cataluña;Madrid;https://elpais.com/economia/2017/10/09/actualidad/1507570625_950581.html
Torraspapel;Barcelona;Madrid ;http://www.laopiniondemurcia.es/economia/2017/10/06/listado-empresas-abandonan-cataluna/865322.html, https://elpais.com/economia/2017/10/09/actualidad/1507570625_950581.html
Trea Asset Management;Cataluña;Madrid ;https://elpais.com/economia/2017/10/09/actualidad/1507570625_950581.html
VidaCaixa;Barcelona;Madrid ;https://elpais.com/economia/2017/10/09/actualidad/1507570625_950581.html
Volotea;Barcelona;Asturias;https://elpais.com/economia/2017/10/09/actualidad/1507570625_950581.html